Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Genre,Duration,streaming platform,Original Record Label & Catalog No.,Suggested Filename,Search,id
1/1/2000,2000,4,Joe,Joe,I Wanna Know,I Wanna Know,[],4:57,Spotify,Jive 42687,Joe--I Wanna Know (2000),https://www.google.com/search?q=%22Joe%22+%22I Wanna Know%22&ie=utf-8&oe=utf-8,1
1/1/2000,2000,6,"Backstreet Boys, The",Backstreet Boys,Show Me The Meaning Of Being Lonely,Show Me the Meaning of Being Lonely,['novelty'],3:54,Spotify,Jive Album Cut,Backstreet Boys--Show Me the Meaning of Being Lonely (2000),https://www.google.com/search?q=%22Backstreet Boys%22+%22Show Me the Meaning of Being Lonely%22&ie=utf-8&oe=utf-8,2
1/1/2000,2000,49,98°,98 Degrees,This Gift,This Gift,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",4:06,Spotify,Universal Album Cut,98 Degrees--This Gift (2000),https://www.google.com/search?q=%2298 Degrees%22+%22This Gift%22&ie=utf-8&oe=utf-8,3
1/1/2000,2000,75,Chad Brock & H.Williams Jr. & G.Jones,Chad Brock & Hank Williams Jr. & George Jones,A Country Boy Can Survive,A Country Boy Can Survive,"['rock-and-roll', 'space age pop', 'surf music']",3:54,Spotify,Warner 16895,Chad Brock & Hank Williams Jr. & George Jones--A Country Boy Can Survive (2000),https://www.google.com/search?q=%22Chad Brock%22+%22A Country Boy Can Survive%22&ie=utf-8&oe=utf-8,4
1/1/2000,2000,90,Joe Diffie,Joe Diffie,The Quittin’ Kind,The Quittin' Kind,"['dance pop', 'pop', 'post-teen pop']",3:23,Spotify,Epic 79268,Joe Diffie--The Quittin' Kind (2000),https://www.google.com/search?q=%22Joe Diffie%22+%22The Quittin%27 Kind%22&ie=utf-8&oe=utf-8,5
1/8/2000,2000,34,Eve Featuring Faith Evans,Eve,Love Is Blind,Love Is Blind,"['pop', 'post-teen pop']",3:51,Spotify,Ruff Ryders Album Cut,Eve--Love Is Blind (2000),https://www.google.com/search?q=%22Eve%22+%22Love Is Blind%22&ie=utf-8&oe=utf-8,6
1/8/2000,2000,47,Snoop Dogg Presents The Eastsidaz,Snoop Dogg,G’D Up,G'D Up,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",4:27,Spotify,Dogg House 2041,Snoop Dogg--G'D Up (2000),https://www.google.com/search?q=%22Snoop Dogg%22+%22G%27D Up%22&ie=utf-8&oe=utf-8,7
1/8/2000,2000,77,"Ginuwine R.L., Tyrese & Case","Ginuwine R.L., Tyrese & Case",The Best Man I Can Be,The Best Man I Can Be,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",4:06,Spotify,Columbia Album Cut,"Ginuwine R.L., Tyrese & Case--The Best Man I Can Be (2000)",https://www.google.com/search?q=%22Ginuwine R.L.%2C Tyrese%22+%22The Best Man I Can Be%22&ie=utf-8&oe=utf-8,8
1/8/2000,2000,83,Mariah Carey,Mariah Carey,All I Want For Christmas Is You,All I Want for Christmas Is You,['english indie rock'],4:00,Spotify,Columbia 6644,Mariah Carey--All I Want for Christmas Is You (2000),https://www.google.com/search?q=%22Mariah Carey%22+%22All I Want for Christmas Is You%22&ie=utf-8&oe=utf-8,9
1/15/2000,2000,29,Sugar Ray,Sugar Ray,Falls Apart,Falls Apart,[],4:15,Spotify,Lava Album Cut,Sugar Ray--Falls Apart (2000),https://www.google.com/search?q=%22Sugar Ray%22+%22Falls Apart%22&ie=utf-8&oe=utf-8,10
1/15/2000,2000,36,Mark Wills,Mark Wills,Back At One,Back At One,"['country', 'country dawn', 'nashville sound']",4:00,Spotify,Mercury Album Cut,Mark Wills--Back At One (2000),https://www.google.com/search?q=%22Mark Wills%22+%22Back At One%22&ie=utf-8&oe=utf-8,11
1/15/2000,2000,65,Jay-Z Featuring Beanie Sigel & Amil,Jay-Z,Do It Again (Put Ya Hands Up),Do It Again (Put Ya Hands Up),[],3:47,Spotify,Roc-A-Fella 562575,Jay-Z--Do It Again (Put Ya Hands Up) (2000),https://www.google.com/search?q=%22Jay-Z%22+%22Do It Again%22&ie=utf-8&oe=utf-8,12
1/15/2000,2000,67,DMX,DMX,What’s My Name,What's My Name,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",3:50,Spotify,Def Jam 562540,DMX--What's My Name (2000),https://www.google.com/search?q=%22DMX%22+%22What%27s My Name%22&ie=utf-8&oe=utf-8,13
1/22/2000,2000,1,Vertical Horizon,Vertical Horizon,Everything You Want,Everything You Want,"['australian country', 'contemporary country', 'country', 'country road']",4:01,Spotify,RCA 65981,Vertical Horizon--Everything You Want (2000),https://www.google.com/search?q=%22Vertical Horizon%22+%22Everything You Want%22&ie=utf-8&oe=utf-8,14
1/22/2000,2000,8,Sonique,Sonique,It Feels So Good,It Feels So Good,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",3:48,Spotify,Caffeine 156247,Sonique--It Feels So Good (2000),https://www.google.com/search?q=%22Sonique%22+%22It Feels So Good%22&ie=utf-8&oe=utf-8,15
1/22/2000,2000,14,Third Eye Blind,Third Eye Blind,Never Let You Go,Never Let You Go,"['blues rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'nu gaze', 'punk blues']",3:57,Spotify,Elektra Album Cut,Third Eye Blind--Never Let You Go (2000),https://www.google.com/search?q=%22Third Eye Blind%22+%22Never Let You Go%22&ie=utf-8&oe=utf-8,16
1/22/2000,2000,25,D’Angelo,D'Angelo,Untitled (How Does It Feel),Untitled (How Does It Feel),"['pop', 'post-teen pop']",7:10,Spotify,Virgin Album Cut,D'Angelo--Untitled (How Does It Feel) (2000),https://www.google.com/search?q=%22D%27Angelo%22+%22Untitled%22&ie=utf-8&oe=utf-8,17
1/22/2000,2000,25,Dr. Dre Featuring Eminem,Dr. Dre,Forgot About Dre,Forgot About Dre,[],3:42,Spotify,Aftermath Album Cut,Dr. Dre--Forgot About Dre (2000),https://www.google.com/search?q=%22Dr. Dre%22+%22Forgot About Dre%22&ie=utf-8&oe=utf-8,18
1/22/2000,2000,71,Q-Tip,Q-Tip,Breathe And Stop,Breathe and Stop,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",4:06,Spotify,Arista Album Cut,Q-Tip--Breathe and Stop (2000),https://www.google.com/search?q=%22Q-Tip%22+%22Breathe and Stop%22&ie=utf-8&oe=utf-8,19
1/22/2000,2000,76,Gary Allan,Gary Allan,Smoke Rings In The Dark,Smoke Rings in the Dark,"['memphis soul', 'southern soul']",4:18,Spotify,MCA Nashville Album Cut,Gary Allan--Smoke Rings in the Dark (2000),https://www.google.com/search?q=%22Gary Allan%22+%22Smoke Rings in the Dark%22&ie=utf-8&oe=utf-8,20
1/29/2000,2000,3,Sisqo,Sisqo,Thong Song,Thong Song,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",4:05,Spotify,Def Soul 562599,Sisqo--Thong Song (2000),https://www.google.com/search?q=%22Sisqo%22+%22Thong Song%22&ie=utf-8&oe=utf-8,21
1/29/2000,2000,4,N’Sync,N'Sync,Bye Bye Bye,Bye Bye Bye,"['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",3:15,Spotify,Jive 42681,N'Sync--Bye Bye Bye (2000),https://www.google.com/search?q=%22N%27Sync%22+%22Bye Bye Bye%22&ie=utf-8&oe=utf-8,22
1/29/2000,2000,14,Britney Spears,Britney Spears,From The Bottom Of My Broken Heart,From the Bottom of My Broken Heart,,4:30,Spotify,Jive 42653,Britney Spears--From the Bottom of My Broken Heart (2000),https://www.google.com/search?q=%22Britney Spears%22+%22From the Bottom of My Broken Heart%22&ie=utf-8&oe=utf-8,23
1/29/2000,2000,24,Sammie,Sammie,I Like It,I Like It,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",4:09,Spotify,Freeworld 58776,Sammie--I Like It (2000),https://www.google.com/search?q=%22Sammie%22+%22I Like It%22&ie=utf-8&oe=utf-8,24
1/29/2000,2000,31,Toby Keith,Toby Keith,How Do You Like Me Now?!,How Do You Like Me Now,['rif'],3:29,Spotify,DreamWorks Album Cut,Toby Keith--How Do You Like Me Now (2000),https://www.google.com/search?q=%22Toby Keith%22+%22How Do You Like Me Now?%22&ie=utf-8&oe=utf-8,25
1/29/2000,2000,31,George Strait,George Strait,The Best Day,The Best Day,[],3:24,Spotify,MCA Album Cut,George Strait--The Best Day (2000),https://www.google.com/search?q=%22George Strait%22+%22The Best Day%22&ie=utf-8&oe=utf-8,26
1/29/2000,2000,35,Aaliyah,Aaliyah,I Don’t Wanna,I Don't Wanna,,4:15,Spotify,Priority Album Cut,Aaliyah--I Don't Wanna (2000),https://www.google.com/search?q=%22Aaliyah%22+%22I Don%27t Wanna%22&ie=utf-8&oe=utf-8,27
1/29/2000,2000,40,Tracy Lawrence,Tracy Lawrence,Lessons Learned,Lessons Learned,[],2:55,Spotify,Atlantic 9144,Tracy Lawrence--Lessons Learned (2000),https://www.google.com/search?q=%22Tracy Lawrence%22+%22Lessons Learned%22&ie=utf-8&oe=utf-8,28
1/29/2000,2000,53,Jo Dee Messina,Jo Dee Messina,Because You Love Me,Because You Love Me,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",3:50,Spotify,Curb Album Cut,Jo Dee Messina--Because You Love Me (2000),https://www.google.com/search?q=%22Jo Dee Messina%22+%22Because You Love Me%22&ie=utf-8&oe=utf-8,29
1/29/2000,2000,74,Lou Bega,Lou Bega,Tricky Tricky,Tricky Tricky,[],3:23,Spotify,RCA Album Cut,Lou Bega--Tricky Tricky (2000),https://www.google.com/search?q=%22Lou Bega%22+%22Tricky Tricky%22&ie=utf-8&oe=utf-8,30
1/29/2000,2000,76,Tracy Byrd,Tracy Byrd,Put Your Hand In Mine,Put Your Hand in Mine,[],4:30,Spotify,RCA Album Cut,Tracy Byrd--Put Your Hand in Mine (2000),https://www.google.com/search?q=%22Tracy Byrd%22+%22Put Your Hand in Mine%22&ie=utf-8&oe=utf-8,31
2/5/2000,2000,42,Martina McBride,Martina McBride,Love’s The Only House,Love's the Only House,"['doo-wop', 'rhythm and blues']",5:13,Spotify,RCA Album Cut,Martina McBride--Love's the Only House (2000),https://www.google.com/search?q=%22Martina McBride%22+%22Love%27s the Only House%22&ie=utf-8&oe=utf-8,32
2/5/2000,2000,57,SheDaisy,Shedaisy,This Woman Needs,This Woman Needs,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']",3:20,Spotify,Lyric Street Album Cut,Shedaisy--This Woman Needs (2000),https://www.google.com/search?q=%22Shedaisy%22+%22This Woman Needs%22&ie=utf-8&oe=utf-8,33
2/5/2000,2000,83,Juvenile,Juvenile,U Understand,U Understand,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",3:51,Spotify,Cash Money Album Cut,Juvenile--U Understand (2000),https://www.google.com/search?q=%22Juvenile%22+%22U Understand%22&ie=utf-8&oe=utf-8,34
2/12/2000,2000,1,Santana Featuring The Product G&B,Santana,"Maria, Maria","Maria, Maria","['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",4:18,Spotify,Arista 13773,"Santana--Maria, Maria (2000)",https://www.google.com/search?q=%22Santana%22+%22Maria%2C Maria%22&ie=utf-8&oe=utf-8,35
